Constituency geographic code,Historic ID (ONS),MNIS ID,Constituency name,NAME DIFFERS FROM MNIS,Constituency designation,English region geographic code,English region name,Country geographic code,Country name
W07000022,530,5,Aberavon,,County,,,W92000004,Wales
S19970001,601,8,Aberdeen Central,,Burgh,,,S92000003,Scotland
S19970002,602,13,Aberdeen North,,Burgh,,,S92000003,Scotland
S19970003,603,19,Aberdeen South,,Burgh,,,S92000003,Scotland
S19970004,604,35,Airdrie and Shotts,,Burgh,,,S92000003,Scotland
E14000001,001,41,Aldershot,,County,E12000008,South East,E92000001,England
E14000002,002,44,Aldridge-Brownhills,,Borough,E12000005,West Midlands,E92000001,England
E14000003,003,50,Altrincham and Sale West,,Borough,E12000002,North West,E92000001,England
W07000007,531,52,Alyn and Deeside,,County,,,W92000004,Wales
E14000004,004,54,Amber Valley,,County,E12000004,East Midlands,E92000001,England
S19970005,605,58,Angus,,County,,,S92000003,Scotland
S19970006,606,66,Argyll and Bute,,County,,,S92000003,Scotland
E14000005,005,74,Arundel and South Downs,,County,E12000008,South East,E92000001,England
E14000006,006,78,Ashfield,,County,E12000004,East Midlands,E92000001,England
E14000007,007,83,Ashford,,County,E12000008,South East,E92000001,England
E14000008,008,88,Ashton under Lyne,Yes,Borough,E12000002,North West,E92000001,England
E14000009,009,93,Aylesbury,,County,E12000008,South East,E92000001,England
S19970007,607,97,Ayr,,County,,,S92000003,Scotland
E14000010,010,106,Banbury,,County,E12000008,South East,E92000001,England
S19970008,608,109,Banff and Buchan,,County,,,S92000003,Scotland
E14000011,011,117,Barking,,Borough,E12000007,London,E92000001,England
E14000012,012,128,Barnsley Central,,Borough,E12000003,Yorkshire and The Humber,E92000001,England
E14000013,013,130,Barnsley East and Mexborough,,County,E12000003,Yorkshire and The Humber,E92000001,England
E14000014,014,132,Barnsley West and Penistone,,County,E12000003,Yorkshire and The Humber,E92000001,England
E14000015,015,136,Barrow and Furness,,County,E12000002,North West,E92000001,England
E14000016,016,144,Basildon,,Borough,E12000006,East of England,E92000001,England
E14000017,017,149,Basingstoke,,County,E12000008,South East,E92000001,England
E14000018,018,154,Bassetlaw,,County,E12000004,East Midlands,E92000001,England
E14000019,019,159,Bath,,County,E12000009,South West,E92000001,England
E14000020,020,164,Batley and Spen,,Borough,E12000003,Yorkshire and The Humber,E92000001,England
E14000021,021,166,Battersea,,Borough,E12000007,London,E92000001,England
E14000022,022,175,Beaconsfield,,County,E12000008,South East,E92000001,England
E14000023,023,181,Beckenham,,Borough,E12000007,London,E92000001,England
E14000024,024,185,Bedford,,Borough,E12000006,East of England,E92000001,England
N19970001,701,193,Belfast East,,Borough,,,N92000002,Northern Ireland
N19970002,702,197,Belfast North,,Borough,,,N92000002,Northern Ireland
N19970003,703,201,Belfast South,,Borough,,,N92000002,Northern Ireland
N19970004,704,206,Belfast West,,Borough,,,N92000002,Northern Ireland
E14000025,025,221,Berwick-upon-Tweed,,County,E12000001,North East,E92000001,England
E14000026,026,224,Bethnal Green and Bow,,Borough,E12000007,London,E92000001,England
E14000027,027,230,Beverley and Holderness,,County,E12000003,Yorkshire and The Humber,E92000001,England
E14000028,028,233,Bexhill and Battle,,County,E12000008,South East,E92000001,England
E14000029,029,239,Bexleyheath and Crayford,,Borough,E12000007,London,E92000001,England
E14000030,030,242,Billericay,,County,E12000006,East of England,E92000001,England
E14000031,031,248,Birkenhead,,Borough,E12000002,North West,E92000001,England
E14000032,032,262,"Birmingham, Edgbaston",,Borough,E12000005,West Midlands,E92000001,England
E14000033,033,267,"Birmingham, Erdington",,Borough,E12000005,West Midlands,E92000001,England
E14000034,034,271,"Birmingham, Hall Green",,Borough,E12000005,West Midlands,E92000001,England
E14000035,035,276,"Birmingham, Hodge Hill",,Borough,E12000005,West Midlands,E92000001,England
E14000036,036,283,"Birmingham, Ladywood",,Borough,E12000005,West Midlands,E92000001,England
E14000037,037,288,"Birmingham, Northfield",,Borough,E12000005,West Midlands,E92000001,England
E14000038,038,292,"Birmingham, Perry Barr",,Borough,E12000005,West Midlands,E92000001,England
E14000039,039,296,"Birmingham, Selly Oak",,Borough,E12000005,West Midlands,E92000001,England
E14000040,040,304,"Birmingham, Sparkbrook and Small Heath",,Borough,E12000005,West Midlands,E92000001,England
E14000041,041,311,"Birmingham, Yardley",,Borough,E12000005,West Midlands,E92000001,England
E14000042,042,316,Bishop Auckland,,County,E12000001,North East,E92000001,England
E14000043,043,319,Blaby,,County,E12000004,East Midlands,E92000001,England
E14000044,044,324,Blackburn,,Borough,E12000002,North West,E92000001,England
E14000045,045,331,Blackpool North and Fleetwood,,Borough,E12000002,North West,E92000001,England
E14000046,046,336,Blackpool South,,Borough,E12000002,North West,E92000001,England
W07000038,532,338,Blaenau Gwent,,County,,,W92000004,Wales
E14000047,047,343,Blaydon,,Borough,E12000001,North East,E92000001,England
E14000048,048,347,Blyth Valley,,Borough,E12000001,North East,E92000001,England
E14000049,049,351,Bognor Regis and Littlehampton,,County,E12000008,South East,E92000001,England
E14000050,050,355,Bolsover,,County,E12000004,East Midlands,E92000001,England
E14000051,051,360,Bolton North East,,Borough,E12000002,North West,E92000001,England
E14000052,052,362,Bolton South East,,Borough,E12000002,North West,E92000001,England
E14000053,053,366,Bolton West,,County,E12000002,North West,E92000001,England
E14000054,054,372,Bootle,,Borough,E12000002,North West,E92000001,England
E14000055,055,373,Boston and Skegness,,County,E12000004,East Midlands,E92000001,England
E14000056,056,378,Bosworth,,County,E12000004,East Midlands,E92000001,England
E14000057,057,385,Bournemouth East,,Borough,E12000009,South West,E92000001,England
E14000058,058,390,Bournemouth West,,Borough,E12000009,South West,E92000001,England
E14000059,059,393,Bracknell,,County,E12000008,South East,E92000001,England
E14000060,060,402,Bradford North,,Borough,E12000003,Yorkshire and The Humber,E92000001,England
E14000061,061,407,Bradford South,,Borough,E12000003,Yorkshire and The Humber,E92000001,England
E14000062,062,412,Bradford West,,Borough,E12000003,Yorkshire and The Humber,E92000001,England
E14000063,063,415,Braintree,,County,E12000006,East of England,E92000001,England
W07000013,533,418,Brecon and Radnorshire,,County,,,W92000004,Wales
E14000064,064,422,Brent East,,Borough,E12000007,London,E92000001,England
E14000065,065,425,Brent North,,Borough,E12000007,London,E92000001,England
E14000066,066,428,Brent South,,Borough,E12000007,London,E92000001,England
E14000067,067,432,Brentford and Isleworth,,Borough,E12000007,London,E92000001,England
E14000068,068,435,Brentwood and Ongar,,County,E12000006,East of England,E92000001,England
W07000023,534,437,Bridgend,,County,,,W92000004,Wales
