Election date,ONS ID,ONS region ID,Constituency name,County name,Region name,Country name,Constituency type,Party name,Party abbreviation,Electoral Commission party ID,MNIS party ID,Electoral Commission adjunct party ID,Candidate first name,Candidate surname,Candidate gender,Sitting MP,Former MP,Member MNIS ID,Votes,Share,Change,Democracy Club person ID
13/01/2011,E14000870,E12000002,Oldham East and Saddleworth,,North West,England,County,Labour,Lab,PP53,15,,Debbie,Abrahams,Female,No,No,4212,14718,0.421357,0.102,1862
13/01/2011,E14000870,E12000002,Oldham East and Saddleworth,,North West,England,County,Liberal Democrat,LD,PP90,17,,Elwyn,Watkins,Male,No,No,,11160,0.319496,0.003,3012
13/01/2011,E14000870,E12000002,Oldham East and Saddleworth,,North West,England,County,Conservative,Con,PP52,4,,Kashif,Ali,Male,No,No,,4481,0.128285,-0.136,2540
13/01/2011,E14000870,E12000002,Oldham East and Saddleworth,,North West,England,County,UK Independence Party,UKIP,PP85,35,,Paul,Nuttal,Male,No,No,,2029,0.058088,0.019,6035
13/01/2011,E14000870,E12000002,Oldham East and Saddleworth,,North West,England,County,British National Party,BNP,PP106,67,,Derek,Adams,Male,No,No,,1560,0.044661,-0.012,3380
13/01/2011,E14000870,E12000002,Oldham East and Saddleworth,,North West,England,County,Green Party,Green,PP63,44,,Peter,Allen,Male,No,No,,530,0.015173,,3707
13/01/2011,E14000870,E12000002,Oldham East and Saddleworth,,North West,England,County,Official Monster Raving Loony Party,MRLP,PP66,119,,Nick The Flying Brick,Delves,Male,No,No,,145,0.004151,,2323
13/01/2011,E14000870,E12000002,Oldham East and Saddleworth,,North West,England,County,English Democrats,ED,PP17,90,,Stephen,Morris,Male,No,No,,144,0.004123,,7011
13/01/2011,E14000870,E12000002,Oldham East and Saddleworth,,North West,England,County,Pirate Party UK,Prte,PP770,132,,Loz,Kaye,Male,No,No,,96,0.002748,,4842
13/01/2011,E14000870,E12000002,Oldham East and Saddleworth,,North West,England,County,Church of the Militant Elvis Party,Elvis,PP843,69,,David,Bishop,Male,No,No,,67,0.001918,,26221
03/03/2011,E14000541,E12000003,Barnsley Central,,Yorkshire and The Humber,England,Borough,Labour,Lab,PP53,15,,Dan,Jarvis,Male,No,No,4243,14724,0.607952,0.135,5266
03/03/2011,E14000541,E12000003,Barnsley Central,,Yorkshire and The Humber,England,Borough,UK Independence Party,UKIP,PP85,35,,Jane,Collins,Female,No,No,,2953,0.121929,0.075,4859
03/03/2011,E14000541,E12000003,Barnsley Central,,Yorkshire and The Humber,England,Borough,Conservative,Con,PP52,4,,James,Hockney,Male,No,No,,1999,0.082539,-0.09,1625
03/03/2011,E14000541,E12000003,Barnsley Central,,Yorkshire and The Humber,England,Borough,British National Party,BNP,PP106,67,,Enis,Dalton,Female,No,No,,1463,0.060407,-0.029,
03/03/2011,E14000541,E12000003,Barnsley Central,,Yorkshire and The Humber,England,Borough,Independent,Ind,,8,,Tony,Devoy,Male,No,No,,1266,0.052273,0.036,7226
03/03/2011,E14000541,E12000003,Barnsley Central,,Yorkshire and The Humber,England,Borough,Liberal Democrat,LD,PP90,17,,Dominic,Carman,Male,No,No,,1012,0.041785,-0.131,2048
03/03/2011,E14000541,E12000003,Barnsley Central,,Yorkshire and The Humber,England,Borough,English Democrats,ED,PP17,90,,Kevin,Riddiough,Male,No,No,,544,0.022462,,5809
03/03/2011,E14000541,E12000003,Barnsley Central,,Yorkshire and The Humber,England,Borough,Official Monster Raving Loony Party,MRLP,PP66,119,,Howling 'Laud',Hope,Male,No,No,,198,0.008175,,422
03/03/2011,E14000541,E12000003,Barnsley Central,,Yorkshire and The Humber,England,Borough,Independent,Ind,,8,,Michael,Val Davies,Male,No,No,,60,0.002477,,35014
05/05/2011,E14000783,E12000004,Leicester South,,East Midlands,England,Borough,Labour,Lab,PP53,15,,Jon,Ashworth,Male,No,No,4244,19771,0.578438,0.123,5545
05/05/2011,E14000783,E12000004,Leicester South,,East Midlands,England,Borough,Liberal Democrat,LD,PP90,17,,Zuffar,Haq,Male,No,No,,7693,0.225073,-0.044,3982
05/05/2011,E14000783,E12000004,Leicester South,,East Midlands,England,Borough,Conservative,Con,PP52,4,,Jane,Hunt,Female,No,No,4839,5169,0.151229,-0.062,3156
05/05/2011,E14000783,E12000004,Leicester South,,East Midlands,England,Borough,UK Independence Party,UKIP,PP85,35,,Abhijit,Pandya,Male,No,No,,994,0.029081,0.014,494
05/05/2011,E14000783,E12000004,Leicester South,,East Midlands,England,Borough,Official Monster Raving Loony Party,MRLP,PP66,119,,Howling 'Laud',Hope,Male,No,No,,553,0.016179,,422
09/06/2011,N06000004,N92000002,Belfast West,,Northern Ireland,Northern Ireland,Borough,Sinn Féin,SF,PP39,30,,Paul,Maskey,Male,No,No,4245,16211,0.706331,-0.004,4603
09/06/2011,N06000004,N92000002,Belfast West,,Northern Ireland,Northern Ireland,Borough,Social Democratic & Labour Party,SDLP,PP55,31,,Alex,Attwood,Male,No,No,,3088,0.134548,-0.029,982
09/06/2011,N06000004,N92000002,Belfast West,,Northern Ireland,Northern Ireland,Borough,People Before Profit Alliance,PBPA,PP773,177,,Gerry,Carroll,Male,No,No,,1751,0.076293,,7199
