Election date,ONS ID2,ONS region ID,Constituency name,County name,Region name,Country name,Constituency type,Party name,Party abbreviation,Electoral Commission party ID,MNIS party ID,Electoral Commission adjunct party ID,Candidate first name,Candidate surname,Candidate gender,Sitting MP,Former MP,Member MNIS ID,Votes,Share,Change,Democracy Club person ID
06/05/2021,E14000733,E12000001,Hartlepool,,North East,England,Borough,Conservative,Con,PP52,4,,Jill,Mortimer,Female,No,No,4916,15529,0.518790,0.229600,51741
06/05/2021,E14000733,E12000001,Hartlepool,,North East,England,Borough,Labour,Lab,PP53,15,,Paul,Williams,Male,No,Yes,4666,8589,0.286940,-0.089900,34461
06/05/2021,E14000733,E12000001,Hartlepool,,North East,England,Borough,Independent,Ind,,8,,Sam,Lee,Female,No,No,,2904,0.097020,,75300
06/05/2021,E14000733,E12000001,Hartlepool,,North East,England,Borough,Heritage Party,HPUK,PP12550,1037,,Claire,Martin,Female,No,No,,468,0.015630,,75301
06/05/2021,E14000733,E12000001,Hartlepool,,North East,England,Borough,Reform UK,RUK,PP7931,1036,,John,Prescott,Male,No,No,,368,0.012290,-0.246100,71672
06/05/2021,E14000733,E12000001,Hartlepool,,North East,England,Borough,Green Party,Green,PP63,44,,Rachel,Featherstone,Female,No,No,,358,0.011960,,6271
06/05/2021,E14000733,E12000001,Hartlepool,,North East,England,Borough,Liberal Democrat,LD,PP90,17,,Andrew,Hagon,Male,No,No,,349,0.011660,-0.029700,34633
06/05/2021,E14000733,E12000001,Hartlepool,,North East,England,Borough,Independent,Ind,,8,,Thelma,Walker,Female,No,No,4649,250,0.008350,,7750
06/05/2021,E14000733,E12000001,Hartlepool,,North East,England,Borough,Independent,Ind,,8,,Chris,Killick,Male,No,No,,248,0.008290,,75299
06/05/2021,E14000733,E12000001,Hartlepool,,North East,England,Borough,The North East Party,NEP,PP2303,213,,Hilton,Dawson,Male,No,Yes,470,163,0.005450,,74317
06/05/2021,E14000733,E12000001,Hartlepool,,North East,England,Borough,Independent,Ind,,8,,W. Ralph,Ward-Jackson,Male,No,No,,157,0.005000,,75302
06/05/2021,E14000733,E12000001,Hartlepool,,North East,England,Borough,Women's Equality Party,WEP,PP2755,260,,Gemma,Evans,Female,No,No,,140,0.004680,,71763
06/05/2021,E14000733,E12000001,Hartlepool,,North East,England,Borough,Independent,Ind,,8,,Adam,Gaines,Male,No,No,,126,0.004000,,75297
06/05/2021,E14000733,E12000001,Hartlepool,,North East,England,Borough,Official Monster Raving Loony Party,MRLP,PP66,119,,Incredible,Flying Brick,Male,No,No,,108,0.003610,,2323
06/05/2021,E14000733,E12000001,Hartlepool,,North East,England,Borough,Social Democratic Party,SDP,PP243,32,,David,Bettney,Male,No,No,,104,0.003470,,72096
06/05/2021,E14000733,E12000001,Hartlepool,,North East,England,Borough,Freedom Alliance,FA,PP12667,1035,,Steve,Jack,Male,No,No,,72,0.002410,,75298
13/05/2021,S14000003,S92000003,Airdrie and Shotts,,Scotland,Scotland,County,Scottish National Party,SNP,PP102,29,,Anum,Qaisar-Javed,Female,No,No,4917,10129,0.464060,0.013300,8299
13/05/2021,S14000003,S92000003,Airdrie and Shotts,,Scotland,Scotland,County,Labour,Lab,PP53,15,,Kenneth,Stevenson,Male,No,No,5200,8372,0.383560,0.063500,19890
