By-election date,Writ date,ONS ID,ONS region ID,Constituency name,County name,Region name,Country name,Constituency type,Declaration time,Member first name,Member surname,Member gender,Result,First party,Second party,Electorate,Valid votes,Invalid votes,Majority,Con,Lab,LD,RUK,Green,SNP,PC,DUP,SF,SDLP,UUP,APNI,All other candidates,Of which other winner
06/05/2021,25/03/2021,E14000733,E12000001,Hartlepool,Cleveland,North East,England,Borough,,Jill,Mortimer,Female,Con gain from Lab,Con,Lab,70768,29933,182,6940,15529,8589,349,368,358,0,0,0,0,0,0,0,4740,0
13/05/2021,06/04/2021,S14000003,S92000003,Airdrie and Shotts,Scotland,Scotland,Scotland,County,,Anum,Qaisar-Javed,Female,SNP hold,SNP,Lab,63705,21827,25,1757,2812,8372,220,45,0,10129,0,0,0,0,0,0,249,0
17/06/2021,12/05/2021,E14000631,E12000008,Chesham and Amersham,Buckinghamshire,South East,England,County,,Sarah,Green,Female,LD gain from Con,LD,Con,72828,37954,54,8028,13489,622,21517,414,1480,0,0,0,0,0,0,0,432,0
01/07/2021,27/05/2021,E14000548,E12000003,Batley and Spen,West Yorkshire,Yorkshire and The Humber,England,Borough,,Kim,Leadbeater,Female,Lab hold,Lab,Con,79373,37695,83,323,12973,13296,1254,0,0,0,0,0,0,0,0,0,10172,0
02/12/2021,01/11/2021,E14000869,E12000007,Old Bexley and Sidcup,London,London,England,Borough,,Louie,French,Male,Con hold,Con,Lab,64831,21733,50,4478,11189,6711,647,1432,830,0,0,0,0,0,0,0,924,0
16/12/2021,09/11/2021,E14000849,E12000005,North Shropshire,Shropshire,West Midlands,England,County,,Helen,Morgan,Female,LD gain from Con,LD,Con,82314,38022,74,5925,12032,3686,17957,1427,1738,0,0,0,0,0,0,0,1182,0
03/02/2022,05/01/2022,E14000957,E12000006,Southend West,Essex,East of England,England,Borough,,Anna,Firth,Female,Con hold,Con,PSY,66354,14858,1084,12280,12792,0,0,0,0,0,0,0,0,0,0,0,2066,0
03/03/2022,31/01/2022,E14000561,E12000005,"Birmingham, Erdington",West Midlands,West Midlands,England,Borough,,Paulette,Hamilton,Female,Lab hold,Lab,Con,63022,16957,59,3266,6147,9413,173,293,236,0,0,0,0,0,0,0,695,0
23/06/2022,17/05/2022,E14000996,E12000009,Tiverton and Honiton,Devon,South West,England,County,,Richard,Foord,Male,LD gain from Con,LD,Con,81661,42591,113,6144,16393,1562,22537,481,1064,0,0,0,0,0,0,0,554,0
23/06/2022,19/05/2022,E14001009,E12000003,Wakefield,West Yorkshire,Yorkshire and The Humber,England,County,,Simon,Lightwood,Male,Lab gain from Con,Lab,Con,69601,27466,62,4925,8241,13166,508,513,587,0,0,0,0,0,0,0,4451,0
01/12/2022,25/10/2022,E14000640,E12000002,City of Chester,Cheshire,North West,England,County,,Samantha,Dixon,Female,Lab hold,Lab,Con,69364,28475,137,10974,6335,17309,2368,773,987,0,0,0,0,0,0,0,703,0
15/12/2022,14/11/2022,E14000979,E12000002,Stretford and Urmston,Greater Manchester,North West,England,Borough,,Andrew,Western,Male,Lab hold,Lab,Con,71641,18418,57,9906,2922,12828,659,650,789,0,0,0,0,0,0,0,570,0
09/02/2023,09/01/2023,E14001033,E12000002,West Lancashire,Lancashire,North West,England,County,,Ashley,Dalton,Female,Lab hold,Lab,Con,72199,22581,58,8326,5742,14068,918,997,646,0,0,0,0,0,0,0,210,0
20/07/2023,14/06/2023,E14000917,E12000003,Selby and Ainsty,North Yorkshire,Yorkshire and The Humber,England,County,,Keir,Mather,Male,Lab gain from Con,Lab,Con,80150,35807,69,4161,12295,16456,1188,1332,1838,0,0,0,0,0,0,0,2698,0
20/07/2023,19/06/2023,E14000932,E12000009,Somerton and Frome,Somerset,South West,England,County,,Sarah,Dyke,Female,LD gain from Con,LD,Con,87921,38788,97,11008,10179,1009,21187,1303,3944,0,0,0,0,0,0,0,1166,0
20/07/2023,14/06/2023,E14001007,E12000007,Uxbridge and South Ruislip,London,London,England,Borough,,Steve,Tuckwell,Male,Con hold,Con,Lab,67067,30925,77,495,13965,13470,526,0,893,0,0,0,0,0,0,0,2071,0
05/10/2023,04/09/2023,S14000056,S92000003,Rutherglen and Hamilton West,Scotland,Scotland,Scotland,Burgh,,Michael,Shanks,Male,Lab gain from SNP,Lab,SNP,82104,30477,54,9446,1192,17845,895,403,601,8399,0,0,0,0,0,0,1142,0
19/10/2023,12/09/2023,E14000813,E12000006,Mid Bedfordshire,Bedfordshire,East of England,England,County,,Alistair,Strathern,Male,Lab gain from Con,Lab,Con,92578,40720,102,1192,12680,13872,9420,1487,732,0,0,0,0,0,0,0,2529,0
19/10/2023,14/09/2023,E14000896,E12000005,Tamworth,Staffordshire,West Midlands,England,County,,Sarah,Edwards,Female,Lab gain from Con,Lab,Con,71302,25586,44,1316,10403,11719,417,1373,417,0,0,0,0,0,0,0,1257,0
15/02/2024,11/01/2024,E14000774,E12000009,Kingswood,Avon,South West,England,Borough,,Damien,Egan,Male,Lab gain from Con,Lab,Con,67103,24869,36,2501,8675,11176,861,2578,1450,0,0,0,0,0,0,0,129,0
15/02/2024,11/01/2024,E14001025,E12000004,Wellingborough,Northamptonshire,East Midlands,England,County,,Gen,Kitchen,Female,Lab gain from Con,Lab,Con,79376,30145,145,6436,7408,13844,1422,3919,1020,0,0,0,0,0,0,0,2532,0
29/02/2024,23/01/2024,E14000897,E12000002,Rochdale,Greater Manchester,North West,England,County,,George,Galloway,Male,WPB gain from Lab,WPB,Ind,78801,31107,167,5697,3731,2402,2164,1968,436,0,0,0,0,0,0,0,8071,12335
02/05/2024,26/03/2024,E14000573,E12000002,Blackpool South,Lancashire,North West,England,Borough,,Chris,Webb,Male,Lab gain from Con,Lab,Con,56696,18375,73,7607,3218,10825,387,3101,368,0,0,0,0,0,0,0,476,0
