ONS ID,ONS region ID,Constituency name,County name,Region name,Country name,Constituency type,Declaration time,Member first name,Member surname,Member gender,Result,First party,Second party,Electorate,Valid votes,Invalid votes,Majority,Con,Lab,LD,RUK,Green,SNP,PC,DUP,SF,SDLP,UUP,APNI,All other candidates,Of which other winner
W07000081,W92000004,Aberafan Maesteg,,Wales,Wales,County,,Stephen,Kinnock,Male,Lab hold,Lab,RUK,72580,35755,79,10354,2903,17838,916,7484,1094,0,4719,0,0,0,0,0,801,0
S14000060,S92000003,Aberdeen North,,Scotland,Scotland,Burgh,,Kirsty,Blackman,Female,SNP hold,SNP,Lab,75925,42095,115,1760,5881,12773,2583,3781,1275,14533,0,0,0,0,0,0,1269,0
S14000061,S92000003,Aberdeen South,,Scotland,Scotland,Burgh,,Stephen,Flynn,Male,SNP hold,SNP,Lab,77328,46345,178,3758,11300,11455,2921,3199,1609,15213,0,0,0,0,0,0,648,0
S14000062,S92000003,Aberdeenshire North and Moray East,,Scotland,Scotland,County,,Seamus,Logan,Male,SNP gain from Con,SNP,Con,70058,38188,170,942,12513,3876,2782,5562,0,13455,0,0,0,0,0,0,0,0
S14000063,S92000003,Airdrie and Shotts,,Scotland,Scotland,County,,Kenneth,Stevenson,Male,Lab gain from SNP,Lab,SNP,70199,36666,95,7547,1696,18871,725,2971,0,11324,0,0,0,0,0,0,1079,0
E14001063,E12000008,Aldershot,,South East,England,Borough,,Alex,Baker,Female,Lab gain from Con,Lab,Con,78553,48544,179,5683,14081,19764,4052,8210,2155,0,0,0,0,0,0,0,282,0
E14001064,E12000005,Aldridge-Brownhills,,West Midlands,England,Borough,,Wendy,Morton,Female,Con hold,Con,Lab,70268,40912,156,4294,15901,11607,1755,9903,1746,0,0,0,0,0,0,0,0,0
S14000064,S92000003,Alloa and Grangemouth,,Scotland,Scotland,County,,Brian,Leishman,Male,Lab gain from SNP,Lab,SNP,70680,41201,74,6122,3127,18039,1151,3804,1421,11917,0,0,0,0,0,0,1742,0
E14001065,E12000002,Altrincham and Sale West,,North West,England,Borough,,Connor,Rand,Male,Lab gain from Con,Lab,Con,74025,51452,184,4174,16624,20798,4727,4961,3699,0,0,0,0,0,0,0,643,0
W07000082,W92000004,Alyn and Deeside,,Wales,Wales,County,,Mark,Tami,Male,Lab hold,Lab,RUK,75790,43392,135,8794,7892,18395,2065,9601,1926,0,1938,0,0,0,0,0,1575,0
E14001066,E12000004,Amber Valley,,East Midlands,England,County,,Linsey,Farnsworth,Female,Lab gain from Con,Lab,RUK,71546,42531,105,3554,10725,15746,1590,12192,2278,0,0,0,0,0,0,0,0,0
S14000065,S92000003,Angus and Perthshire Glens,,Scotland,Scotland,County,,Dave,Doogan,Male,SNP hold,SNP,Con,76668,47348,224,4870,14272,6799,3156,3246,0,19142,0,0,0,0,0,0,733,0
S14000066,S92000003,Arbroath and Broughty Ferry,,Scotland,Scotland,County,,Stephen,Gethins,Male,SNP hold,SNP,Lab,76149,44117,161,859,6841,14722,2249,3800,0,15581,0,0,0,0,0,0,924,0
S14000067,S92000003,"Argyll, Bute and South Lochaber",,Scotland,Scotland,County,,Brendan,O'Hara,Male,SNP hold,SNP,Con,71756,44862,216,6232,9350,8585,7359,3045,0,15582,0,0,0,0,0,0,941,0
E14001067,E12000008,Arundel and South Downs,,South East,England,County,,Andrew,Griffith,Male,Con hold,Con,LD,77969,54740,214,12134,22001,9782,9867,7391,5515,0,0,0,0,0,0,0,184,0
