Election_Id,Election_State,ONS_Constituency_Id,ONS_Region_Id,Constituency_Name,Region_Name,Country_Name,Constituency_Type,Declaration_Time,Winning_Candidate_Given_Name,Winning_Candidate_Family_Name,Winning_Candidate_Gender_Name,Short_Result_Summary,Long_Result_Summary,First_Placed_Party,Second_Placed_Party,Electorate,Valid_Votes,Invalid_Votes,Majority
3251,Pre-candidates,W07000081,W92000004,Aberafan Maesteg,,Wales,County,,Stephen,Kinnock,Male,Lab hold,Labour hold,Labour,Reform UK,72580,35755,79,10354
3252,Pre-candidates,S14000060,S92000003,Aberdeen North,,Scotland,Burgh,,Kirsty,Blackman,Female,SNP hold,Scottish National Party hold,Scottish National Party,Labour,75925,42095,115,1760
3253,Candidates only,S14000061,S92000003,Aberdeen South,,Scotland,Burgh,,Stephen,Flynn,Male,SNP hold,Scottish National Party hold,Scottish National Party,Labour,77328,46345,178,3758
3254,Candidates only,S14000062,S92000003,Aberdeenshire North and Moray East,,Scotland,County,,Seamus,Logan,Male,SNP gain from Con,Scottish National Party gain from Conservative,Scottish National Party,Conservative,70058,38188,170,942
3255,Winners only,S14000063,S92000003,Airdrie and Shotts,,Scotland,County,,Kenneth,Stevenson,Male,Lab gain from SNP,Labour gain from Scottish National Party,Labour,Scottish National Party,70199,36666,95,7547
3256,Winners only,E14001063,E12000008,Aldershot,South East,England,Borough,,Alex,Baker,Female,Lab gain from Con,Labour gain from Conservative,Labour,Conservative,78553,48544,179,5683
3257,Full results,E14001064,E12000005,Aldridge-Brownhills,West Midlands,England,Borough,,Wendy,Morton,Female,Con hold,Conservative hold,Conservative,Labour,70268,40912,156,4294
3258,Full results,S14000064,S92000003,Alloa and Grangemouth,,Scotland,County,,Brian,Leishman,Male,Lab gain from SNP,Labour gain from Scottish National Party,Labour,Scottish National Party,70680,41201,74,6122
3259,Full results,E14001065,E12000002,Altrincham and Sale West,North West,England,Borough,,Connor,Rand,Male,Lab gain from Con,Labour gain from Conservative,Labour,Conservative,74025,51452,184,4174
3260,Full results,W07000082,W92000004,Alyn and Deeside,,Wales,County,,Mark,Tami,Male,Lab hold,Labour hold,Labour,Reform UK,75790,43392,135,8794
3261,Full results,E14001066,E12000004,Amber Valley,East Midlands,England,County,,Linsey,Farnsworth,Female,Lab gain from Con,Labour gain from Conservative,Labour,Reform UK,71546,42531,105,3554
3262,Full results,S14000065,S92000003,Angus and Perthshire Glens,,Scotland,County,,Dave,Doogan,Male,SNP hold,Scottish National Party hold,Scottish National Party,Conservative,76668,47348,224,4870
3263,Full results,S14000066,S92000003,Arbroath and Broughty Ferry,,Scotland,County,,Stephen,Gethins,Male,SNP hold,Scottish National Party hold,Scottish National Party,Labour,76149,44117,161,859
3264,Full results,S14000067,S92000003,"Argyll, Bute and South Lochaber",,Scotland,County,,Brendan,O'Hara,Male,SNP hold,Scottish National Party hold,Scottish National Party,Conservative,71756,44862,216,6232
3265,Full results,E14001067,E12000008,Arundel and South Downs,South East,England,County,,Andrew,Griffith,Male,Con hold,Conservative hold,Conservative,Liberal Democrat,77969,54740,214,12134
3266,Full results,E14001068,E12000004,Ashfield,East Midlands,England,County,,Lee,Anderson,Male,RUK gain from Con,Reform UK gain from Conservative,Reform UK,Labour,68929,39882,102,5508
3267,Full results,E14001069,E12000008,Ashford,South East,England,County,,Sojan,Joseph,Male,Lab gain from Con,Labour gain from Conservative,Labour,Conservative,76233,46975,164,1779
3268,Full results,E14001070,E12000002,Ashton-under-Lyne,North West,England,Borough,,Angela,Rayner,Female,Lab hold,Labour hold,Labour,Reform UK,71002,35461,136,6791
3269,Full results,E14001071,E12000008,Aylesbury,South East,England,County,,Laura,Kyrke-Smith,Female,Lab gain from Con,Labour gain from Conservative,Labour,Conservative,79169,49940,213,630
3270,Full results,S14000107,S92000003,"Ayr, Carrick and Cumnock",,Scotland,County,,Elaine,Stewart,Female,Lab gain from SNP,Labour gain from Scottish National Party,Labour,Scottish National Party,70340,40936,120,4154
3271,Full results,E14001072,E12000008,Banbury,South East,England,County,,Sean,Woodcock,Male,Lab gain from Con,Labour gain from Conservative,Labour,Conservative,73250,48178,187,3256
3272,Full results,W07000083,W92000004,Bangor Aberconwy,,Wales,County,,Claire,Hughes,Female,Lab gain from Con,Labour gain from Conservative,Labour,Plaid Cymru,70527,41660,154,4896
3273,Full results,E14001073,E12000007,Barking,London,England,Borough,,Nesil,Caliskan,Female,Lab hold,Labour hold,Labour,Reform UK,79822,36477,120,11054
3274,Full results,E14001074,E12000003,Barnsley North,Yorkshire and The Humber,England,County,,Dan,Jarvis,Male,Lab hold,Labour hold,Labour,Reform UK,78274,36894,114,7811
3275,Full results,E14001075,E12000003,Barnsley South,Yorkshire and The Humber,England,County,,Stephanie,Peacock,Female,Lab hold,Labour hold,Labour,Reform UK,75853,35082,78,4748
3276,Full results,E14001076,E12000002,Barrow and Furness,North West,England,County,,Michelle,Scrogham,Female,Lab gain from Con,Labour gain from Conservative,Labour,Conservative,74980,42221,141,5324
3277,Full results,E14001077,E12000006,Basildon and Billericay,East of England,England,Borough,,Richard,Holden,Male,Con hold,Conservative hold,Conservative,Labour,76873,42124,176,20
3278,Full results,E14001078,E12000008,Basingstoke,South East,England,Borough,,Luke,Murphy,Male,Lab gain from Con,Labour gain from Conservative,Labour,Conservative,78487,48989,189,6484
3279,Full results,E14001079,E12000004,Bassetlaw,East Midlands,England,County,,Jo,White,Female,Lab gain from Con,Labour gain from Conservative,Labour,Conservative,78161,44878,150,5768
3280,Full results,E14001080,E12000009,Bath,South West,England,County,,Wera,Hobhouse,Female,LD hold,Liberal Democrat hold,Liberal Democrat,Labour,69662,48130,192,11218
3281,Full results,S14000068,S92000003,Bathgate and Linlithgow,,Scotland,County,,Kirsteen,Sullivan,Female,Lab gain from SNP,Labour gain from Scottish National Party,Labour,Scottish National Party,72185,42065,92,8323
3282,Full results,E14001081,E12000007,Battersea,London,England,Borough,,Marsha,De Cordova,Female,Lab hold,Labour hold,Labour,Conservative,72827,47082,237,12039
3283,Full results,E14001082,E12000008,Beaconsfield,South East,England,County,,Joy,Morrissey,Female,Con hold,Conservative hold,Conservative,Liberal Democrat,72751,47726,162,5455
3284,Full results,E14001083,E12000007,Beckenham and Penge,London,England,Borough,,Liam,Conlon,Male,Lab hold,Labour hold,Labour,Conservative,77198,52222,218,12905
3285,Full results,E14001084,E12000006,Bedford,East of England,England,Borough,,Mohammad,Yasin,Male,Lab hold,Labour hold,Labour,Conservative,72478,40659,210,9430
3286,Full results,N05000001,N92000002,Belfast East,,Northern Ireland,Borough,,Gavin,Robinson,Male,DUP hold,Democratic Unionist Party hold,Democratic Unionist Party,Alliance,72917,42706,184,2676
3287,Full results,N05000002,N92000002,Belfast North,,Northern Ireland,Borough,,John,Finucane,Male,SF hold,Sinn Féin hold,Sinn Féin,Democratic Unionist Party,74240,40452,293,5612
3288,Full results,N05000003,N92000002,Belfast South and Mid Down,,Northern Ireland,Borough,,Claire,Hanna,Female,SDLP hold,Social Democratic & Labour Party hold,Social Democratic & Labour Party,Alliance,74749,43491,266,12506
3289,Full results,N05000004,N92000002,Belfast West,,Northern Ireland,Borough,,Paul,Maskey,Male,SF hold,Sinn Féin hold,Sinn Féin,People Before Profit Alliance,75346,39743,256,15961
3290,Full results,E14001085,E12000007,Bermondsey and Old Southwark,London,England,Borough,,Neil,Coyle,Male,Lab hold,Labour hold,Labour,Liberal Democrat,69482,37603,180,7787
3291,Full results,S14000108,S92000003,"Berwickshire, Roxburgh and Selkirk",,Scotland,County,,John,Lamont,Male,Con hold,Conservative hold,Conservative,Scottish National Party,76438,46558,138,6599
3292,Full results,E14001086,E12000007,Bethnal Green and Stepney,London,England,Borough,,Rushanara,Ali,Female,Lab hold,Labour hold,Labour,,81439,46647,320,1689
3293,Full results,E14001087,E12000003,Beverley and Holderness,Yorkshire and The Humber,England,County,,Graham,Stuart,Male,Con hold,Conservative hold,Conservative,Labour,71994,44897,144,124
3294,Full results,E14001088,E12000008,Bexhill and Battle,South East,England,County,,Kieran,Mullan,Male,Con hold,Conservative hold,Conservative,Labour,72198,47750,188,2657
3295,Full results,E14001089,E12000007,Bexleyheath and Crayford,London,England,Borough,,Daniel,Francis,Male,Lab gain from Con,Labour gain from Conservative,Labour,Conservative,70297,43461,118,2114
3296,Full results,E14001090,E12000008,Bicester and Woodstock,South East,England,County,,Calum,Miller,Male,LD gain from Con,Liberal Democrat gain from Conservative,Liberal Democrat,Conservative,74353,50219,167,4958
3297,Full results,E14001091,E12000002,Birkenhead,North West,England,Borough,,Alison,McGovern,Female,Lab hold,Labour hold,Labour,Green Party,78091,43134,142,13798
3298,Full results,E14001092,E12000005,Birmingham Edgbaston,West Midlands,England,Borough,,Preet,Gill,Female,Lab hold,Labour hold,Labour,Conservative,71787,37428,179,8368
3299,Full results,E14001093,E12000005,Birmingham Erdington,West Midlands,England,Borough,,Paulette,Hamilton,Female,Lab hold,Labour hold,Labour,Reform UK,77463,34137,152,7019
3300,Full results,E14001094,E12000005,Birmingham Hall Green and Moseley,West Midlands,England,Borough,,Tahir,Ali,Male,Lab hold,Labour hold,Labour,,76936,41606,256,5656
3301,Full results,E14001095,E12000005,Birmingham Hodge Hill and Solihull North,West Midlands,England,Borough,,Liam,Byrne,Male,Lab hold,Labour hold,Labour,Workers Party of Britain,77737,34136,127,1566
